DCUID,PLL_KEY,OLD_COARSE,OLD_FINE,OLD_DELAY,OFFSET,TARGET_DELAY,NEW_COARSE,NEW_FINE,NEW_DELAY,DIFF_PLL
16513339,-1413538236,7,0,175,-8,167,6,16,166.667,-8.33333
6224683,1769413956,8,18,218.75,6,224.75,9,0,225,6.25
3863031,-2107696060,6,18,168.75,4,172.75,6,22,172.917,4.16667
14417255,1927225156,6,18,168.75,2,170.75,6,20,170.833,2.08333
3930615,2038243140,7,11,186.458,-9,177.458,7,2,177.083,-9.375
7992379,-1409474748,7,13,188.542,-9,179.542,7,4,179.167,-9.375
8123019,1404771396,5,10,135.417,-4,131.417,5,6,131.25,-4.16667
16185803,-1707139516,7,1,176.042,8,184.042,7,9,184.375,8.33333
7729259,1760238404,5,19,144.792,-7,137.792,5,12,137.5,-7.29167
11926591,-2089345468,7,20,195.833,0,195.833,7,20,195.833,0
13890059,1140727108,7,10,185.417,-7,178.417,7,3,178.125,-7.29167
7467947,977215044,5,21,146.875,-3,143.875,5,18,143.75,-3.125
5895679,708779332,6,2,152.083,-1,151.083,6,1,151.042,-1.04166
3536159,444407620,7,13,188.542,0,188.542,7,13,188.542,0
11990003,1543183428,6,16,166.667,-9,157.667,6,7,157.292,-9.375
14022075,-1804133052,6,20,170.833,8,178.833,7,4,179.167,8.33334
3274071,-1401479612,7,21,196.875,-5,191.875,7,16,191.667,-5.20833
3603999,729685316,6,9,159.375,-5,154.375,6,4,154.167,-5.20833
3536395,1920408132,7,15,190.625,-3,187.625,7,12,187.5,-3.125
13892471,1920801604,7,8,183.333,-5,178.333,7,3,178.125,-5.20833
12517114,576658244,6,13,163.542,8,171.542,6,21,171.875,8.33333
6028315,-1698751932,6,17,167.708,-7,160.708,6,10,160.417,-7.29166
3273307,-1443029692,7,9,184.375,-6,178.375,7,3,178.125,-6.25
16251563,-2084627644,7,4,179.167,-7,172.167,6,21,171.875,-7.29167
7467991,2055085124,7,10,185.417,3,188.417,7,13,188.542,3.125
4060571,-1839522748,4,5,105.208,2,107.208,4,7,107.292,2.08333
16249291,-1846076348,6,17,167.708,9,176.708,7,2,177.083,9.375
11926235,-2097735100,7,16,191.667,10,201.667,8,2,202.083,10.4167
14350059,578690628,7,5,180.208,6,186.208,7,11,186.458,6.25
5634251,450828868,6,15,165.625,9,174.625,7,0,175,9.375
14024447,859773508,6,4,154.167,5,159.167,6,9,159.375,5.20833
14610971,2053052996,6,19,169.792,-1,168.792,6,18,168.75,-1.04167
14087666,997662532,6,20,170.833,-3,167.833,6,17,167.708,-3.125
12451315,1371216708,5,10,135.417,10,145.417,5,20,145.833,10.4167
5763627,1534533188,7,22,197.917,8,205.917,8,6,206.25,8.33333
16513595,700128324,4,6,106.25,-2,104.25,4,4,104.167,-2.08334
14283439,-1455481020,6,18,168.75,8,176.75,7,2,177.083,8.33333
8319959,2038308420,7,3,178.125,5,183.125,7,8,183.333,5.20833
4062695,-2105664444,7,4,179.167,5,184.167,7,9,184.375,5.20833
5635227,2029853508,7,14,189.583,-7,182.583,7,7,182.292,-7.29166
6026738,1777802052,8,14,214.583,-2,212.583,8,12,212.5,-2.08333
12185787,829889604,6,19,169.792,10,179.792,7,5,180.208,10.4167
14087639,-1715529148,6,23,173.958,5,178.958,7,4,179.167,5.20834
12187243,1920867396,7,3,178.125,10,188.125,7,13,188.542,10.4167
14614055,1819745604,8,20,220.833,9,229.833,9,5,230.208,9.375
6223079,576659012,6,17,167.708,4,171.708,6,21,171.875,4.16667
3537487,1488919620,6,20,170.833,10,180.833,7,6,181.25,10.4167
3535839,821960516,6,7,157.292,5,162.292,6,12,162.5,5.20833
5764839,981343556,6,3,153.125,-8,145.125,5,19,144.792,-8.33333
15988459,-1535567292,5,21,146.875,-9,137.875,5,12,137.5,-9.375
14545663,696130628,6,10,160.417,-1,159.417,6,9,159.375,-1.04167
11663866,1123883844,7,10,185.417,1,186.417,7,11,186.458,1.04166
4059634,956112196,6,11,161.458,6,167.458,6,17,167.708,6.25
4125399,608116548,6,21,171.875,0,171.875,6,21,171.875,0
12319211,2054626116,7,18,193.75,-4,189.75,7,14,189.583,-4.16667
5372039,1759189572,5,23,148.958,0,148.958,5,23,148.958,0
5632731,-1455481788,6,16,166.667,8,174.667,7,0,175,8.33333
14547771,-1409868988,7,16,191.667,0,191.667,7,16,191.667,0
16382087,867900228,4,12,112.5,1,113.5,4,13,113.542,1.04166
6160127,442440516,6,16,166.667,3,169.667,6,19,169.792,3.125
6026611,-1598087356,6,21,171.875,-4,167.875,6,17,167.708,-4.16667
13891035,1004215364,4,4,104.167,-7,97.1667,3,21,96.875,-7.29166
6029003,1005787972,5,5,130.208,-9,121.208,4,20,120.833,-9.37499
6028031,989273412,6,21,171.875,3,174.875,7,0,175,3.125
12515755,2055084868,7,7,182.292,4,186.292,7,11,186.458,4.16666
16645127,1413159748,5,9,134.375,4,138.375,5,13,138.542,4.16667
3273259,-1837295036,6,10,160.417,-10,150.417,6,0,150,-10.4167
13761359,465509700,6,21,171.875,-5,166.875,6,16,166.667,-5.20833
12450879,1920802628,7,12,187.5,4,191.5,7,16,191.667,4.16667
7470575,-1816192188,5,18,143.75,3,146.75,5,21,146.875,3.125
5700979,977214788,5,19,144.792,4,148.792,5,23,148.958,4.16666
14286167,444013124,7,16,191.667,5,196.667,7,21,196.875,5.20833
6156775,-1686299068,7,12,187.5,-2,185.5,7,10,185.417,-2.08333
15859211,-1705042364,6,18,168.75,4,172.75,6,22,172.917,4.16667
4126975,1920802372,7,12,187.5,2,189.5,7,14,189.583,2.08333
11925975,-1409475004,7,13,188.542,4,192.542,7,17,192.708,4.16666
7729207,1526143556,7,16,191.667,-4,187.667,7,12,187.5,-4.16667
4125531,-2122704060,5,18,143.75,3,146.75,5,21,146.875,3.125
14611503,-1434576316,7,7,182.292,-7,175.292,7,0,175,-7.29167
11924507,847125060,6,2,152.083,1,153.083,6,3,153.125,1.04167
4128427,-1421927356,7,1,176.042,-6,170.042,6,19,169.792,-6.25
4061931,-1847649468,5,14,139.583,9,148.583,5,23,148.958,9.375
14545906,746396996,6,12,162.5,2,164.5,6,14,164.583,2.08333
14285627,-1585636540,7,9,184.375,-8,176.375,7,1,176.042,-8.33333
3931579,-1669521596,7,10,185.417,-6,179.417,7,4,179.167,-6.25
8257039,695147332,5,16,141.667,4,145.667,5,20,145.833,4.16666
3797435,746003012,6,17,167.708,7,174.708,7,0,175,7.29167
16252523,861608772,4,10,110.417,7,117.417,4,17,117.708,7.29167
11665131,1539251268,7,6,181.25,4,185.25,7,10,185.417,4.16667
3865319,-1803675068,6,8,158.333,7,165.333,6,15,165.625,7.29167
14348999,1013914692,5,20,145.833,-9,136.833,5,11,136.458,-9.375
12319959,1107107140,7,11,186.458,-4,182.458,7,7,182.292,-4.16666
5371335,880221508,7,1,176.042,10,186.042,7,11,186.458,10.4167
14023095,2071861828,7,6,181.25,-5,176.25,7,1,176.042,-5.20833
11794539,1761155908,6,20,170.833,5,175.833,7,1,176.042,5.20834
8059591,964108100,6,19,169.792,-3,166.792,6,16,166.667,-3.125
14612827,1953176644,5,7,132.292,10,142.292,5,17,142.708,10.4167
14545819,1760500548,7,14,189.583,-10,179.583,7,4,179.167,-10.4167
14285887,-1586028732,7,19,194.792,-9,185.792,7,10,185.417,-9.375
8320371,998055748,6,12,162.5,3,165.5,6,15,165.625,3.125
14154227,-1866524092,6,1,151.042,6,157.042,6,7,157.292,6.25
16184583,1088101188,4,20,120.833,-3,117.833,4,17,117.708,-3.125
8125499,1374493508,4,10,110.417,6,116.417,4,16,116.667,6.25
7992279,1778261572,8,5,205.208,-7,198.208,7,22,197.917,-7.29166
3536315,821959492,6,3,153.125,9,162.125,6,12,162.5,9.375
16642875,-1703076028,7,13,188.542,1,189.542,7,14,189.583,1.04166
5370383,1757092420,6,6,156.25,1,157.25,6,7,157.292,1.04167
5961471,712907588,6,9,159.375,0,159.375,6,9,159.375,0
14611383,1945967940,7,10,185.417,-10,175.417,7,0,175,-10.4167
14023415,553458756,7,12,187.5,-2,185.5,7,10,185.417,-2.08333
12251723,1927224132,6,13,163.542,5,168.542,6,18,168.75,5.20833
3603143,1121918276,6,17,167.708,10,177.708,7,3,178.125,10.4167
14285615,876550724,6,3,153.125,-10,143.125,5,17,142.708,-10.4167
3930583,876552004,6,0,150,2,152,6,2,152.083,2.08333
12186651,611785284,7,14,189.583,-7,182.583,7,7,182.292,-7.29166
14612919,2071796804,7,13,188.542,-3,185.542,7,10,185.417,-3.125
12187159,-1403052476,6,18,168.75,-3,165.75,6,15,165.625,-3.125
16250618,1111432516,6,22,172.917,-4,168.917,6,18,168.75,-4.16667
5371931,587078212,7,0,175,5,180,7,5,180.208,5.20833
8058267,-2080826556,6,3,153.125,-9,144.125,5,18,143.75,-9.375
3929531,972889924,6,12,162.5,-9,153.5,6,3,153.125,-9.375
15856219,842997060,5,23,148.958,10,158.958,6,9,159.375,10.4167
14086650,746004292,6,21,171.875,5,176.875,7,2,177.083,5.20833
